Name,Location,time,date,description,upvotes
KAM Exhibition | Art Since 1948,"Main Level, Rosann Gelvin Noel Gallery",12:00am - 11:59pm,"September 30, 2019","With strengths in surrealism, abstract painting, mid-century kinetic and light works, and art addressing powerful themes of history, land use, and identity, ""Art Since 1948"" surveys the collection and encourages formal and conceptual connections across six decades.",0
KAM Exhibition | Reinstallation of European and American Art,"Main Level, Bow and Trees Galleries",12:00am - 11:59pm,"September 30, 2019","The Bow and Trees Galleries, which have been freshly painted with new colors, feature thoughtful reinterpretations of KAM’s collection of European and American art from the 1300s to 1950.",0
KAM Exhibition | Revealing Presence: Women in Architecture at the University of Illinois,"Main Level, East Gallery",12:00am - 11:59pm,"September 30, 2019","""Revealing Presence"" illuminates the scale and breadth of architectural work by women and its enduring contribution to the built environment by focusing on the work of alumnae of the Illinois School of Architecture.",0
"Silicon Valley Entrepreneurship Workshop Application Due Sept. 30, 2019",Silicon Valley,12:00am - 11:59pm,"September 30, 2019","Interested in meeting Silicon Valley's biggest players in entrepreneurship, innovation, and venture capital over winter break? Spend a week in January ( Jan 12-18, 2020) visiting startups and leading tech companies while networking with prominent, entrepreneurial alumni. Application due Sept. 30, 2019.",0
"The Good, the Bad, and the Ugly: Conservation Treatments and Decision Making Through the Ages","Main Library, Room 346",9:00 am - 5:00 pm,"September 30, 2019","While contemporary conservators strive to apply innovative modern conservation treatments for our objects, we see the good, the bad, and the ugly past repairs through the ages in our collections every day. In this exhibition, we bring together examples--many drawn from our own Rare Book & Manuscript Library--to show the dynamic practice of modern book & paper conservation.",0
Health/Fitness,Flu shots on the Quad/Anniversary Plaza (south of the Union) weather permitting,10:00 am - 2:00 pm,"September 30, 2019",12:00 pm,0
SPO Brown Bag--Bo Zhang--UIUC,819 Psychology,12:00 pm,"September 30, 2019",Other,0
Chai Time with Indian Student Association,"Asian American Cultural Center 1210 W. Nevada, Urbana",5:00 - 6:00 pm,"September 30, 2019","Indian Student Association will be offering free chai and cookies. They will also be discussing South Asian Media Representation. This will be at the Asian American Cultural Center, 1210 W. Nevada in Urbana. 5:00pm-6:00pm.",0
Flower Arranging Workshop with Delight Flower Farm,Allerton Park - The Mansion,6:00 - 8:00 pm,"September 30, 2019","Have a blooming night as you gather with family, friends and friendly folks to learn about a variety of autumn flowers (dahlias!) and the bouquet-making elements.",0
Chai Time with Asian American Association,"Asian American Cultural Center 1210 W. Nevada, Urbana",6:30 - 7:30 pm,"September 30, 2019",AAA will have a fun activity planned that explores how societal privileges influence our identities and values! We are a safe and open community and we welcome and encourage everyone from different backgrounds & perspectives to come out for this event. Free snacks and drinks provided.,0
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"October 1, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
KAM Exhibition | All This Beauty and Color: Highlights from the WPA,"Main Level, Kinkead Gallery",12:00am - 11:59pm,"October 1, 2019",This exhibition showcases a selection of paintings created by American artists who were employed as part of the New Deal Works Progress Administration. This art is on long term loan to Krannert Art Museum from the United States Government and is cared for as part of the museum collection.,0
KAM Exhibition | Art Since 1948,"Main Level, Rosann Gelvin Noel Gallery",12:00am - 11:59pm,"October 1, 2019","With strengths in surrealism, abstract painting, mid-century kinetic and light works, and art addressing powerful themes of history, land use, and identity, ""Art Since 1948"" surveys the collection and encourages formal and conceptual connections across six decades.",0
KAM Exhibition | Reinstallation of European and American Art,"Main Level, Bow and Trees Galleries",12:00am - 11:59pm,"October 1, 2019","The Bow and Trees Galleries, which have been freshly painted with new colors, feature thoughtful reinterpretations of KAM’s collection of European and American art from the 1300s to 1950.",0
KAM Exhibition | Revealing Presence: Women in Architecture at the University of Illinois,"Main Level, East Gallery",12:00am - 11:59pm,"October 1, 2019","""Revealing Presence"" illuminates the scale and breadth of architectural work by women and its enduring contribution to the built environment by focusing on the work of alumnae of the Illinois School of Architecture.",0
Informational,Procter & Gamble Tech Talk,12:00am - 11:59pm,"October 1, 2019",All Day,0
Spurlock Museum exhibit | In Her Closet—How to Make a Drag Queen,"Spurlock Museum, 600 S Gregory St, Urbana",12:00am - 11:59pm,"October 1, 2019","When you hear “drag queen,” what comes to mind? The popularity of drag has exploded in recent years, and so have the questions and curiosities related to drag artistry. This exhibit explores these questions and curates a selection of costumes and materials loaned by several drag performers connected to the local area.",0
"The Good, the Bad, and the Ugly: Conservation Treatments and Decision Making Through the Ages","Main Library, Room 346",9:00 am - 5:00 pm,"October 1, 2019","While contemporary conservators strive to apply innovative modern conservation treatments for our objects, we see the good, the bad, and the ugly past repairs through the ages in our collections every day. In this exhibition, we bring together examples--many drawn from our own Rare Book & Manuscript Library--to show the dynamic practice of modern book & paper conservation.",0
Oh No! Dealing with Difficult Situations in the Classroom,"Armory building, room 428",10:00 - 11:30 am,"October 1, 2019","In this workshop, we will begin by discussing resources that are available to TAs who are dealing with difficult situations. We will then ask the TAs how they would deal with these difficult situations themselves and identify the pros and cons of these approaches.",0
AACC Food for Thought: Living on the Margins: Experiences of the Asian & Asian American LGBT Community,"Asian American Cultural Center Lounge, 1210 Nevada St, Urbana",12:00 - 1:00 pm,"October 1, 2019","Food for Thought, part of the Office of Inclusion and Intercultural Relation's Lunch on Us series, is a weekly noontime discussion focused on topics relevant to the Asian American community. Past discussions include topics such as nutrition, mental health, sexual health, and issues of queer Asian Americans.",0
"CSAMES Brown Bag series talk--Rule of Law, Belief Systems, and Economic Development: The Case of Turkey",Lucy Ellis Lounge; 707 S. Mathews Ave.; Urbana,12:00 pm,"October 1, 2019",Lecture,0
IGB Seminar - MMG,612 Conference Center Carl R. Woese Institute for Genomic Biology,12:00 pm,"October 1, 2019","John Glass, PhD J. Craig Venter Institute; Professor and Leader of the Synthetic Biology & Bioenergy Group",0
Illinois State Senator Jason Barickman: “A Critical Analysis of the 1970 Illinois Constitution 50 Years Later”,"Room D, Law Building",12:00 - 1:00 pm,"October 1, 2019",Lecture,0
Mindfulness Meditation,Wohlers Hall - Rm. 174,12:00 - 12:50 pm,"October 1, 2019",This beginner-friendly course will introduce the concept of mindful meditation.,0
"A Murder Mystery! A ""Whodunnit"" of Global Amphibian Declines","Room D, College of Law, 504 E. Pennsylvania Avenue",4:00 - 5:00 pm,"October 1, 2019","Murder Mystery! A ""Whodunnit"" of Global Amphibian Declines",0
Even a Moon Shot Needs a Flight Plan: Genetics and Ethics in the Obama Administration,"Knight Auditorium, Spurlock Museum, 600 S. Gregory Street",4:00 pm,"October 1, 2019","""Even a Moon Shot Needs a Flight Plan: Genetics and Ethics in the Obama Administration"" Dr. Alondra Nelson President, Social Science Research Council Harold F. Linder Professor, Institute for Advanced Study, Princeton",0
"Lecture. Murder Mystery! A ""Whodunnit"" of Global Amphibian Declines","Room D, College of Law. 504 E. Pennsylvania Avenue",4:00 - 5:00 pm,"October 1, 2019",Lecture,0
Murder Mystery! A “Whodunnit” of Global Amphibian Declines,"Room D, Law Building",4:00 - 5:00 pm,"October 1, 2019",Lecture,0
Weapons of Mass Destruction Nonproliferation and Arms Control,1002 Lincoln Hall,6:00 - 8:00 pm,"October 1, 2019",Lecture,0
Italian Cuisine,Orchard Downs - 1801 - 1815 Orchard Pl. Urbana IL 61801,6:30 - 8:00 pm,"October 1, 2019",Get ready to explore Italy with exciting new flavors right here in Champaign-Urbana! Learn to make spaghetti and meatballs with a homemade sauce that will wow your friends and family.,0
Isango Ensemble: Aesop's Fables,Tryon Festival Theatre,7:00 pm,"October 1, 2019","Based on a brilliant script from playwright Peter Terson, the expressive tale portrays the ancient Greek story of a servant on a journey to Mount Olympus, contextualized in the recent history of South Africa and sung in English, Tswana, and Zulu.",0
Tuesdays @ 7 Workshop - Supporting Others in Mental Health,La Casa Cultural Latina,7:00 - 8:15 pm,"October 1, 2019",Counseling Center Paraprofessionals are a group of undergraduate students who work to assist other students in embracing wellness. Each semester they hold weekly workshops on wellness topics that are relevant to our campus.,0
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"October 2, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
Graduate Student Breakfast Discussion with Sarah Bidgood and Dave Schmerler,Room 345 Armory Building,8:30 - 9:30 am,"October 2, 2019",Graduate Student Informational Breakfast Conversation with Sarah Bidgood and Dave Schmerler from the Center for Nonproliferation Studies.,0
"Introduction to Scholarly Research - Section III: Collecting, Organizing, and Storing Information","Room 314, Main Library Building",12:00am - 11:59pm,"October 2, 2019","Join a team of librarians for this series of five workshops, during which you will learn how to become a more successful researcher. Each section will be offered twice, once in the morning and once in the afternoon. Register for more information here: https://go.library.illinois.edu/research.",0
KAM Exhibition | All This Beauty and Color: Highlights from the WPA,"Main Level, Kinkead Gallery",12:00am - 11:59pm,"October 2, 2019",This exhibition showcases a selection of paintings created by American artists who were employed as part of the New Deal Works Progress Administration. This art is on long term loan to Krannert Art Museum from the United States Government and is cared for as part of the museum collection.,0
KAM Exhibition | Art Since 1948,"Main Level, Rosann Gelvin Noel Gallery",12:00am - 11:59pm,"October 2, 2019","With strengths in surrealism, abstract painting, mid-century kinetic and light works, and art addressing powerful themes of history, land use, and identity, ""Art Since 1948"" surveys the collection and encourages formal and conceptual connections across six decades.",0
KAM Exhibition | Reinstallation of European and American Art,"Main Level, Bow and Trees Galleries",12:00am - 11:59pm,"October 2, 2019","The Bow and Trees Galleries, which have been freshly painted with new colors, feature thoughtful reinterpretations of KAM’s collection of European and American art from the 1300s to 1950.",0
KAM Exhibition | Revealing Presence: Women in Architecture at the University of Illinois,"Main Level, East Gallery",12:00am - 11:59pm,"October 2, 2019","""Revealing Presence"" illuminates the scale and breadth of architectural work by women and its enduring contribution to the built environment by focusing on the work of alumnae of the Illinois School of Architecture.",0
Spurlock Museum exhibit | In Her Closet—How to Make a Drag Queen,"Spurlock Museum, 600 S Gregory St, Urbana",12:00am - 11:59pm,"October 2, 2019","When you hear “drag queen,” what comes to mind? The popularity of drag has exploded in recent years, and so have the questions and curiosities related to drag artistry. This exhibit explores these questions and curates a selection of costumes and materials loaned by several drag performers connected to the local area.",0
"The Good, the Bad, and the Ugly: Conservation Treatments and Decision Making Through the Ages","Main Library, Room 346",9:00 am - 5:00 pm,"October 2, 2019","While contemporary conservators strive to apply innovative modern conservation treatments for our objects, we see the good, the bad, and the ugly past repairs through the ages in our collections every day. In this exhibition, we bring together examples--many drawn from our own Rare Book & Manuscript Library--to show the dynamic practice of modern book & paper conservation.",0
Health/Fitness,Flu shots on the Quad/Anniversary Plaza (south of the Union) weather permitting,10:00 am - 2:00 pm,"October 2, 2019",11:30 am - 1:00 pm,0
"Jr. Faculty Fall 2019 Teaching Series, wksp #3: Critical Factors for Motivating Students to Learn",Room 428 Armory Buildling (Southwest corner of the building),11:30 am - 1:00 pm,"October 2, 2019",Conference/Workshop,0
CAS Brown Bag series talk--Parallel Naming and Self-Identity in Pre-Colonial Africa: The Example of the Kabye in Togo,Room 101 International Studies Building; 910 S. Fifth St.: Champaign,12:00 pm,"October 2, 2019",Lecture,0
Migration & Game Design Working Group,"Informatics, Room 210A, Tech Plaza, 616 E. Green, Suite 210",12:00 - 12:50 pm,"October 2, 2019","Fall 2019 working group meetings of the Migration & Game Design Group. Students, faculty, staff & members of the Champaign-Urbana community are welcome. Lunch provided with RSVP to wggp@illinois.edu by September 29th.",0
Women@NCSA + Allies Conflict Management Workshop,1030 NCSA,1:30 pm,"October 2, 2019",Conference/Workshop,0
Emerging Tech Hands-on: 3D Scanning,TechHub - Armory Room 151A,3:00 - 4:00 pm,"October 2, 2019","CITL Innovation Spaces is hosting a variety of hands-on emerging technology topics for beginners. Workshops are open to everyone. (Note: workshops can count towards the Certificate in Teaching-Enhanced Technology, but may require a short reflection paper.)",0
"EPI Workshop--FALL 2019, Session 4: Wednesday, October 2, 5:30 to 6:45pm. Practice completing sample EPIs; set goals for oral English improvement; learn about resources you can use to improve your English skills.",Room 428 Armory Buildling (Southwest corner of the building),5:30 - 6:45 pm,"October 2, 2019","Wednesday, October 2, 5:30 to 6:45pm. With other workhops participants, practice completing sample EPIs; set goals for oral English improvement; learn about resources you can use to improve your English skills. Note: This session will be most beneficial if you also attend one or more of the earlier sessions. The content in session 4 pulls together everything learned in ses",0
[iCU] Colombia: What You Should Know!,"Asian American Cultural Center (1210 W Nevada St, Urbana)",5:30 - 7:00 pm,"October 2, 2019","Colombia is a country with high cultural and historic richness, where visitors are welcomed by warm and cheerful people. Owing to its location near the equator, Colombia offers and astonishing biodiversity and a wide variety of climates. No matter what time of the year, you can experience any of the seasons in Colombia!",0
Encore of Quantum Rhapsodies,Beckman Institute Atrium,6:00 pm,"October 2, 2019","The performance of “Quantum Rhapsodies” features live music, narration, and video. A reception will begin in the atrium at 5:30 p.m.",0
"""Gandhi, King and Our World Today""","Spurlock Auditorium; 600 S. Gregory St.; Urbana, IL 61801",7:30 pm,"October 2, 2019",Performance,0
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"October 3, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
KAM Exhibition | All This Beauty and Color: Highlights from the WPA,"Main Level, Kinkead Gallery",12:00am - 11:59pm,"October 3, 2019",This exhibition showcases a selection of paintings created by American artists who were employed as part of the New Deal Works Progress Administration. This art is on long term loan to Krannert Art Museum from the United States Government and is cared for as part of the museum collection.,0
KAM Exhibition | Art Since 1948,"Main Level, Rosann Gelvin Noel Gallery",12:00am - 11:59pm,"October 3, 2019","With strengths in surrealism, abstract painting, mid-century kinetic and light works, and art addressing powerful themes of history, land use, and identity, ""Art Since 1948"" surveys the collection and encourages formal and conceptual connections across six decades.",0
KAM Exhibition | Reinstallation of European and American Art,"Main Level, Bow and Trees Galleries",12:00am - 11:59pm,"October 3, 2019","The Bow and Trees Galleries, which have been freshly painted with new colors, feature thoughtful reinterpretations of KAM’s collection of European and American art from the 1300s to 1950.",0
KAM Exhibition | Revealing Presence: Women in Architecture at the University of Illinois,"Main Level, East Gallery",12:00am - 11:59pm,"October 3, 2019","""Revealing Presence"" illuminates the scale and breadth of architectural work by women and its enduring contribution to the built environment by focusing on the work of alumnae of the Illinois School of Architecture.",0
Spurlock Museum exhibit | In Her Closet—How to Make a Drag Queen,"Spurlock Museum, 600 S Gregory St, Urbana",12:00am - 11:59pm,"October 3, 2019","When you hear “drag queen,” what comes to mind? The popularity of drag has exploded in recent years, and so have the questions and curiosities related to drag artistry. This exhibit explores these questions and curates a selection of costumes and materials loaned by several drag performers connected to the local area.",0
Sustainable Food and Beverage Manufacturing Workshop,"Thatcher Woods Pavilion, 8030 Chicago Avenue, River Forest, IL",9:00 am - 1:00 pm,"October 3, 2019",Join experts from the Illinois Sustainable Technology Center and its partners to learn about the latest sustainability technologies and efficiency opportunities in the food and beverage industry.,0
"The Good, the Bad, and the Ugly: Conservation Treatments and Decision Making Through the Ages","Main Library, Room 346",9:00 am - 5:00 pm,"October 3, 2019","While contemporary conservators strive to apply innovative modern conservation treatments for our objects, we see the good, the bad, and the ugly past repairs through the ages in our collections every day. In this exhibition, we bring together examples--many drawn from our own Rare Book & Manuscript Library--to show the dynamic practice of modern book & paper conservation.",0
FINANCIAL AFFAIRS - KEYS FOR EMBRACING AGING SERIES,"Champaign County Extension Auditorium, 801 N Country Fair Dr, Champaign",10:00 - 11:30 am,"October 3, 2019",KEYS FOR EMBRACING AGING is a free 11-part series designed to help adults develop strategies for taking care of themselves in order to age more gracefully. Register for one or as many classes as you plan to attend.,0
Health/Fitness,Flu shots at the IKE/Ikenberry Commons - Lobby,10:30 am - 1:30 pm,"October 3, 2019",11:00 am - 4:00 pm,0
Farm Stand on the Quad,South Side of Illini Union on the Main Quad,11:00 am - 4:00 pm,"October 3, 2019","The Sustainable Student Farm sells their produce at their farm stand on the Quad every Thursday, 11am to 4pm, from May to end of October.",0
WW Workshops (Weight Watchers® Reimagined),"249 Bevier Hall (Bevier Commons), 905 South Goodwin Ave, Urbana",12:15 - 12:45 pm,"October 3, 2019","Confidential weigh-in starts at noon, and the meeting runs from 12:15-12:45.",0
Café Coble | First Thursdays at the Graduate College,Coble Hall (1st FL reception) 801 S Wright St,2:00 - 4:00 pm,"October 3, 2019","FREE coffee and treats. You're invited to bring a friend, stop by and take a break!",0
Active Learning Strategies for Busy TAs,"Armory building, room 428",3:00 - 4:00 pm,"October 3, 2019","We know that active learning in the classroom is important, but how do you make it happen, especially when trying to juggle the responsibilities of grad student life? This session introduces dozens of easy and engaging learning activities that you can use in any discipline.",0
Light The Night 2019 - Volunteer Opportunity,Alma Mater and Hallene Gateway (corner of Lincoln and Illinois),3:00 - 7:00 pm,"October 3, 2019","Light the Night 2019 We need volunteers to help us with Light the Night 2019 event on October 3, 2019 from 4:00p to 7:00p at Illinois and Lincoln (Hallene Gateway) or the Alma Mater. Volunteers can join us from 3:45 pm to 5:30 pm or 5:30 pm to 7 pm, or from 3:45 pm to 7 pm. Click on the Registration link to register as the volunteer! C U on October 3!",0
Beckman-Brown Lecture on Interdisciplinary Science,Beckman Institute Auditorium,4:00 pm,"October 3, 2019","Prof. Yaakov Stern, Columbia Univ., will speak about ""Cognitive Reserve: An Evolving Concept"" at 4 p.m. Oct. 3 at Beckman. The talk is part of the annual Beckman-Brown Lecture on Interdisciplinary Science with a reception to follow.",0
Beckman-Brown Lecture on Interdisciplinary Science,Beckman Institute Auditorium,4:00 pm,"October 3, 2019",Lecture,0
"Environmental Humanities Lecture | Aaron Sachs (History, Cornell University)","IPRH Lecture Hall, Levis Faculty Center, Fourth Floor (919 West Illinois Street, Urbana) ",4:00 pm,"October 3, 2019","“The Climate Change Comedy Hour” Aaron Sachs is Professor of History and American Studies at Cornell University, where he has taught since 2004. In 2006, he published The Humboldt Current: Nineteenth-Century Exploration and the Roots of American Environmentalism (Viking), which won Honorable Mention for the Frederick Jackson Turner Award.",0
Light The Night 2019,Alma Mater and Hallene Gateway (corner of Lincoln and Illinois),4:00 - 7:00 pm,"October 3, 2019","Free bike light installation event! Must bring your bike to get lights! Join us on October 3, 2019 from 4:00p to 7:00p at Illinois and Lincoln (Hallene Gateway) or the Alma Mater. ",0
The Beckman Experiment: Pop-up escape rooms,Beckman Institute Room 1005,4:00 pm   8:00 pm,"October 3, 2019","Sorry, this event is sold out.",0
Health/Fitness,Flu shots at the IKE/Ikenberry Commons - Lobby,4:30 - 7:30 pm,"October 3, 2019",5:00 pm,0
Krannert Uncorked withColeman-Gray-Spencer Trio,Stage 5,5:00 pm,"October 3, 2019","At Krannert Uncorked, Stage 5 is the crossroads to gather, make connections, and try a new wine.",0
KAM Event | Dance Workshop: Movement as Means to Experience Art; Move to See/ See to Move,"Main Level, East Gallery",5:30 - 7:00 pm,"October 3, 2019",No experience is necessary to explore connections between movement and observation at KAM.,0
Science Showcase!,Beckman Institute Atrium,5:30 pm,"October 3, 2019","Grab light refreshments and hear a few of Beckman’s graduate students and postdoctoral researchers share informal, compelling stories about their research.",0
Illinois Soccer vs. Indiana,Demirjian Park,7:00 pm,"October 3, 2019",Sporting Event,0
Apollo's Fire: Vivaldi's Four Seasons—Rediscovered,Foellinger Great Hall,7:30 pm,"October 3, 2019","If you think you know the Four Seasons, be prepared for surprises, and if you’ve never experienced it before, now is the time. Rich with musical depictions of bird calls, storms, animals, and more, Vivaldi’s story is made clear as Apollo’s Fire precedes each concerto that makes up the work with a quick “tour” of the sound effects to come.",0
Studiodance II,Studio Theatre,7:30 pm,"October 3, 2019","Always expect delightful surprises in Studiodance II, when Dance at Illinois students present their dance-making investigations curated by a panel of faculty and students.",0
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"October 4, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
KAM Exhibition | All This Beauty and Color: Highlights from the WPA,"Main Level, Kinkead Gallery",12:00am - 11:59pm,"October 4, 2019",This exhibition showcases a selection of paintings created by American artists who were employed as part of the New Deal Works Progress Administration. This art is on long term loan to Krannert Art Museum from the United States Government and is cared for as part of the museum collection.,0
KAM Exhibition | Art Since 1948,"Main Level, Rosann Gelvin Noel Gallery",12:00am - 11:59pm,"October 4, 2019","With strengths in surrealism, abstract painting, mid-century kinetic and light works, and art addressing powerful themes of history, land use, and identity, ""Art Since 1948"" surveys the collection and encourages formal and conceptual connections across six decades.",0
KAM Exhibition | Reinstallation of European and American Art,"Main Level, Bow and Trees Galleries",12:00am - 11:59pm,"October 4, 2019","The Bow and Trees Galleries, which have been freshly painted with new colors, feature thoughtful reinterpretations of KAM’s collection of European and American art from the 1300s to 1950.",0
KAM Exhibition | Revealing Presence: Women in Architecture at the University of Illinois,"Main Level, East Gallery",12:00am - 11:59pm,"October 4, 2019","""Revealing Presence"" illuminates the scale and breadth of architectural work by women and its enduring contribution to the built environment by focusing on the work of alumnae of the Illinois School of Architecture.",0
